project_slug,title,readiness,cover_webp,cover_jpg,derived_from
gemudaya-festival-majene-2026,GEMUDAYA Festival Majene 2026,READY_AS_DESIGN_COVER,gemudaya-festival-majene-2026-cover-1600x900.webp,gemudaya-festival-majene-2026-cover-1600x900.jpg,/mnt/data/ghostwriter_images/context/a3cdcd76-f1d7-5175-a6ba-eea88e75b60e.png
maulid-salabose-majene-2026,Maulid Nabi Salabose Majene 2026,READY_AS_DESIGN_COVER,maulid-salabose-majene-2026-cover-1600x900.webp,maulid-salabose-majene-2026-cover-1600x900.jpg,/mnt/data/ghostwriter_images/context/21e36b86-1721-50fe-8956-1991a7fba5ba.png
mtq-xi-sulbar-2026,MTQ XI Provinsi Sulawesi Barat 2026,READY_WITH_DIMENSION_CHECK,mtq-xi-sulbar-2026-cover-1600x900.webp,mtq-xi-sulbar-2026-cover-1600x900.jpg,/mnt/data/ghostwriter_images/context/288d2d82-a1dc-5a10-b498-5c8697dfdef1.png
wisuda-icp-2026,Wisuda III & Pengukuhan Guru Besar ICP 2026,READY_AS_DESIGN_COVER,wisuda-icp-2026-cover-1600x900.webp,wisuda-icp-2026-cover-1600x900.jpg,/mnt/data/ghostwriter_images/context/a632468f-2c4e-59ec-9d37-26f973f1ad26.jpg
tyro1-wgb-2026,TYRO1 Water Gel Blaster 2026,READY_AS_DESIGN_COVER,tyro1-wgb-2026-cover-1600x900.webp,tyro1-wgb-2026-cover-1600x900.jpg,/mnt/data/ghostwriter_images/context/af0db154-64ef-5a91-a67d-2d23a5e2e9ec.jpg
tpn-xiii-pinrang-2026,Temu Pendidik Nusantara XIII Pinrang 2026,COVER_READY_GALLERY_NEEDS_REAL_DOCS,tpn-xiii-pinrang-2026-cover-1600x900.webp,tpn-xiii-pinrang-2026-cover-1600x900.jpg,/mnt/data/ghostwriter_images/context/9e44fd43-6dc3-5a74-be52-fb89d47dee67.png
tpn-xiii-pinrang-backdrop-2026,Temu Pendidik Nusantara XIII Pinrang 2026 (Backdrop),COVER_READY_GALLERY_NEEDS_REAL_DOCS,tpn-xiii-pinrang-backdrop-2026-cover-1600x900.webp,tpn-xiii-pinrang-backdrop-2026-cover-1600x900.jpg,/mnt/data/ghostwriter_images/context/4b2210a6-5d79-5cae-ace2-0fd0bf78c0c9.png
porsenijar-sidrap-pgri-2026,PORSENIJAR PGRI Sulsel 2026,COVER_READY_GALLERY_NEEDS_REAL_DOCS,porsenijar-sidrap-pgri-2026-cover-1600x900.webp,porsenijar-sidrap-pgri-2026-cover-1600x900.jpg,/mnt/data/ghostwriter_images/context/9e5756cd-de6b-52b8-ac10-ecd4299254e9.png
festival-penyu-mampie-2026,Festival Penyu Mampie 2026,COVER_READY_GALLERY_NEEDS_REAL_DOCS,festival-penyu-mampie-2026-cover-1600x900.webp,festival-penyu-mampie-2026-cover-1600x900.jpg,/mnt/data/ghostwriter_images/context/13664a13-9768-5d54-8ffb-a8337ceba53d.png
mandar-culture-festival-2026,Mandar Culture Festival 2026,COVER_READY_GALLERY_NEEDS_REAL_DOCS,mandar-culture-festival-2026-cover-1600x900.webp,mandar-culture-festival-2026-cover-1600x900.jpg,/mnt/data/ghostwriter_images/context/e2a26f3d-262f-59c5-90e3-28c732352741.jpg
maroa-ppt-tool,MAROA PPT / Plugin Resolume Arena,NEEDS_PRODUCT_PROOF,maroa-ppt-tool-cover-1600x900.webp,maroa-ppt-tool-cover-1600x900.jpg,/mnt/data/ghostwriter_images/context/47b540a7-cce8-55f4-b817-73d7585ec02e.png
